"","Q025.estres","Q025.incremento","Q025.sin_cambio","Q025.reduccion"
"2024-08-07",-0.118978993315969,-0.107129459375826,-0.0254444022575306,-0.0181455179743897
"2024-08-08",-0.119508999125,-0.107666593643515,-0.0259056402969791,-0.018736183321923
"2024-08-09",-0.118751353061016,-0.106898757410759,-0.0249164053140886,-0.0178918241317694
"2024-08-13",-0.121997602927809,-0.110188668606491,-0.0286028360638805,-0.0215096095844484
"2024-08-14",-0.120340831696447,-0.108509614175536,-0.0265056572153672,-0.01966321971762
"2024-08-15",-0.120041742990578,-0.108206502793994,-0.026463988915696,-0.0193299000985043
"2024-08-20",-0.120795610235608,-0.108970509383533,-0.027225847745315,-0.0201700479812104
"2024-08-21",-0.120114746299098,-0.108280487980557,-0.0265752753845199,-0.0194112586871528
"2024-08-22",-0.119507724743223,-0.10766530212159,-0.0255441477894527,-0.0187347630862524
"2024-08-23",-0.116180491961677,-0.104293318809157,-0.0219891550194974,-0.0150267261671339
"2024-08-27",-0.119127543719785,-0.107280007749087,-0.0248833951294914,-0.0183110700766512
"2024-08-28",-0.110637032056062,-0.0986753006174184,-0.0155239848768465,-0.00884881336713939
"2024-08-29",-0.116935436783475,-0.105058417468629,-0.0223579630271125,-0.015868074956029
"2024-08-30",-0.120189739431194,-0.108356489753375,-0.0259973916362929,-0.0194948348360875
"2024-09-03",-0.123435788504057,-0.111646197454544,-0.0297891490627783,-0.0231123965138299
"2024-09-04",-0.123363171631007,-0.11157260390092,-0.0300887349919333,-0.0230314685884633
"2024-09-05",-0.119205007139144,-0.107358513033975,-0.0254145840398247,-0.0183973992389689
"2024-09-06",-0.123287975471428,-0.111496396369946,-0.0299590212049564,-0.0229476661754068
"2024-09-10",-0.124266514466812,-0.112488096494235,-0.031095446888238,-0.0240381996486896
"2024-09-11",-0.126594194034929,-0.114847082827838,-0.0335534619143368,-0.02663228378441
"2024-09-12",-0.12291601831313,-0.111119436471715,-0.029332816779914,-0.0225331382581092
"2024-09-13",-0.122232898031006,-0.110427128375785,-0.0283282563215446,-0.02177183437809
"2024-09-17",-0.120036412848112,-0.108201100962313,-0.0266308958307082,-0.0193239599174753
"2024-09-18",-0.120414164293488,-0.108583933079477,-0.0263710736527136,-0.0197449452820928
"2024-09-19",-0.121545048864022,-0.10973002779256,-0.0275595431748527,-0.0210052603890062
"2024-09-20",-0.123045349716472,-0.111250507353278,-0.0289953973767394,-0.0226772717317428
"2024-09-25",-0.120708056500192,-0.108881778070111,-0.0269017989759982,-0.0200724736590496
"2024-09-26",-0.125655811356407,-0.113896079113819,-0.0324611385431273,-0.0255865025467636
"2024-09-27",-0.126269080359636,-0.114517596446899,-0.0332493391113688,-0.026269960619772
"2024-10-01",-0.12594717772635,-0.114191364295758,-0.0327046062727026,-0.0259112160031623
"2024-10-02",-0.126847740674242,-0.115104039612295,-0.0335048564476738,-0.0269148490153444
"2024-10-03",-0.126850599767177,-0.115106937159386,-0.0334619435327791,-0.0269180353334817
"2024-10-04",-0.126024742950046,-0.114269972754229,-0.032539311928685,-0.0259976586213951
"2024-10-08",-0.124360875518189,-0.112583726680483,-0.030612373345695,-0.0241433603889225
"2024-10-09",-0.125781608457846,-0.114023568157916,-0.0325575050348255,-0.0257266972151503
"2024-10-10",-0.128272621970058,-0.116548085240343,-0.0354192963929882,-0.0285028089800192
